doc_id,domain,corpus,drug_group,group_fold,axis1_role,cv_round1,cv_round2,cv_round3,cv_round4
cadecv2:ANTIHYPERTENSIVES-COZAAR.46,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.47,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.48,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.49,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.5,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.50,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.51,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.52,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.54,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.55,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.56,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.59,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.6,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.60,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.61,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.62,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.63,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.65,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.67,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.68,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.7,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.70,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.71,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.72,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.74,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.75,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.76,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.77,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.78,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.8,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.80,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.81,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.82,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.83,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.84,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.85,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.88,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.89,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.91,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.93,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.1,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.10,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.102,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.103,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.105,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.107,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.109,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.11,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.111,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.112,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.113,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.115,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.116,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.117,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.119,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.12,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.120,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.121,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.122,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.124,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.125,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.126,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.127,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.128,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.129,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.13,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.130,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.131,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.132,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.134,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.135,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.136,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.138,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.139,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.14,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.140,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.141,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.143,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.144,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.145,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.146,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.147,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.148,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.15,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.150,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.151,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.152,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.153,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.157,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.158,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.159,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.16,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.161,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.162,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.163,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.164,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.17,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.18,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.2,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.20,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.21,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.22,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.23,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.25,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.26,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.28,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.29,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.30,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.31,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.32,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.33,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.34,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.35,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.36,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.37,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.38,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.39,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.4,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.40,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.41,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.42,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.43,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.45,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.46,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.47,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.48,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.49,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.5,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.50,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.51,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.52,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.53,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.54,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.55,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.56,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.57,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.58,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.59,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.60,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.62,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.64,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.65,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.66,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.67,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.68,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.69,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.7,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.70,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.72,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.73,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.74,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.75,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.76,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.77,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.79,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.8,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.80,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.81,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.82,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.83,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.84,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.85,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.89,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.9,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.91,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.92,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.94,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.95,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.96,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.98,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVAN.99,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVANHCT.1,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVANHCT.10,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVANHCT.11,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVANHCT.12,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVANHCT.13,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-DIOVANHCT.16,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
